Organization (costs in MEUR),2010,2011,2012,2013,2014,2015,2016,2017,Total,%
Total,17.3,18.85,21.33,22.13,24.31,26.9,35.05,32.86,198.73,100
Helsingin yliopisto,3.32,3.52,3.91,4.12,4.46,5.05,8.06,5.46,37.9,19.07
Aalto-yliopisto,2.25,2.4,2.67,2.71,2.88,3.07,3.19,3.32,22.49,11.32
Turun yliopisto,1.5,1.6,1.76,1.79,2.04,2.35,2.75,2.93,16.72,8.41
Oulun yliopisto,1.49,1.57,1.74,1.83,2.03,2.17,2.72,2.85,16.4,8.25
Itä-Suomen yliopisto,0.9,1.35,1.43,1.53,1.69,1.82,2.32,2.42,13.47,6.78
Jyväskylän yliopisto,1.07,1.14,1.27,1.31,1.57,1.73,2.43,2.37,12.88,6.48
Tampereen yliopisto,0.91,1,1.09,1.14,1.28,1.41,1.53,1.49,9.84,4.95
Tampereen teknillinen yliopisto,0.9,1.05,1.17,1.19,1.21,1.3,1.4,1.5,9.72,4.89
Åbo Akademi,0.75,0.78,0.79,0.78,0.89,0.97,1.01,1.04,7.01,3.53
Teknologian tutkimuskeskus (VTT),0.47,0.49,0.67,0.71,0.79,0.81,0.83,0.79,5.57,2.8
Lappeenrannan teknillinen yliopisto,0,0,0.35,0.37,0.39,0.53,0.76,0.8,3.21,1.61
Terveyden ja hyvinvoinnin laitos (THL),0.34,0.35,0.36,0.38,0.39,0.4,0.44,0.44,3.09,1.56
Vaasan yliopisto,0.17,0.21,0.22,0.24,0.26,0.33,0.34,0.38,2.15,1.08
Hanken Svenska handelshögskolan,0.18,0.2,0.24,0.26,0.29,0.33,0.32,0.31,2.13,1.07
Työterveyslaitos (TTL),0.2,0.21,0.2,0.21,0.21,0.22,0.31,0.27,1.82,0.91
Lapin yliopisto,0.16,0.17,0.17,0.17,0.19,0.22,0.23,0.33,1.62,0.82
Suomen ympäristökeskus (SYKE),0.14,0.15,0.17,0.19,0.19,0.21,0.21,0.24,1.51,0.76
Haaga-Helia ammattikorkeakoulu,0.15,0.16,0.16,0.17,0.19,0.2,0.25,0.2,1.5,0.75
Tampereen ammattikorkeakoulu (TAMK),0.13,0.13,0.15,0.15,0.18,0.22,0.26,0.25,1.47,0.74
Turun ammattikorkeakoulu,0.13,0.13,0.14,0.15,0.16,0.21,0.23,0.22,1.36,0.69
Luonnonvarakeskus (Luke),0,0,0,0,0,0.39,0.47,0.47,1.33,0.67
Geologian tutkimuskeskus (GTK),0.11,0.12,0.14,0.15,0.16,0.19,0.21,0.22,1.29,0.65
Metropolia Ammattikorkeakoulu,0.08,0.08,0.1,0.1,0.12,0.14,0.3,0.32,1.24,0.62
Laurea-ammattikorkeakoulu,0.09,0.09,0.09,0.1,0.17,0.19,0.2,0.22,1.14,0.57
Oulun ammattikorkeakoulu,0.11,0.12,0.11,0.11,0.12,0.15,0.2,0.21,1.13,0.57
Savonia-ammattikorkeakoulu,0.1,0.1,0.14,0.14,0.12,0.14,0.15,0.15,1.04,0.52
Seinäjoen ammattikorkeakoulu (SeAMK),0.11,0.11,0.13,0.13,0.13,0.14,0.14,0.14,1.03,0.52
Satakunnan ammattikorkeakoulu (SAMK),0.1,0.1,0.11,0.11,0.11,0.14,0.15,0.15,0.97,0.49
Kansaneläkelaitos (Kela),0.1,0.11,0.12,0.13,0.13,0.14,0.13,0.1,0.97,0.49
Lahden ammattikorkeakoulu (LAMK),0.07,0.08,0.11,0.11,0.12,0.15,0.19,0.14,0.97,0.49
Lääkealan turvallisuus- ja kehittämiskeskus Fimea,0.06,0.07,0.1,0.11,0.11,0.13,0.21,0.19,0.96,0.49
Jyväskylän ammattikorkeakoulu (JAMK),0.1,0.11,0.1,0.1,0.09,0.11,0.13,0.12,0.85,0.43
Centria-ammattikorkeakoulu,0.08,0.09,0.09,0.1,0.1,0.11,0.12,0.13,0.83,0.42
Ilmatieteen laitos,0.03,0.03,0.12,0.13,0.13,0.05,0.13,0.15,0.77,0.39
Maanpuolustuskorkeakoulu,0,0,0,0,0,0,0.5,0.25,0.75,0.38
Maa- ja elintarviketalouden tutkimuskeskus (MTT),0.13,0.14,0.14,0.14,0.16,0,0,0,0.72,0.36
Valtion taloudellinen tutkimuskeskus (VATT),0.07,0.07,0.08,0.08,0.09,0.1,0.1,0.11,0.71,0.36
Eduskunnan kirjasto,0.07,0.08,0.07,0.06,0.06,0.08,0.08,0.09,0.59,0.3
Hämeen ammattikorkeakoulu (HAMK),0.05,0.05,0.05,0.05,0.06,0.07,0.12,0.13,0.58,0.29
Arcada ammattikorkeakoulu,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.56,0.28
Metsäntutkimuslaitos (Metla),0.08,0.08,0.11,0.12,0.15,0,0,0,0.54,0.27
Lapin ammattikorkeakoulu,0,0,0,0,0.11,0.13,0.17,0.14,0.54,0.27
Saimaan ammattikorkeakoulu,0,0,0.07,0.08,0.08,0.09,0.1,0.1,0.52,0.26
Diakonia-ammattikorkeakoulu (Diak),0.06,0.06,0.06,0.05,0.05,0.08,0.07,0.08,0.52,0.26
Vaasan ammattikorkeakoulu (VAMK),0.04,0.04,0.06,0.06,0.06,0.07,0.09,0.1,0.51,0.26
Kymenlaakson ammattikorkeakoulu (KyAMK),0.09,0.11,0.09,0.07,0.05,0.05,0,0,0.47,0.24
Yrkeshögskolan Novia,0.04,0.04,0.05,0.06,0.06,0.07,0.05,0.08,0.46,0.23
Riista- ja kalatalouden tutkimuslaitos (RKTL),0.08,0.08,0.09,0.09,0.1,0,0,0,0.43,0.22
Kajaanin ammattikorkeakoulu (KAMK),0.04,0.03,0.06,0.03,0.03,0.06,0.06,0.08,0.39,0.2
Taideyliopisto,0,0,0,0.06,0.07,0.07,0.1,0.08,0.38,0.19
Valtioneuvosto,0,0,0,0,0,0,0.03,0.32,0.35,0.18
Mikkelin ammattikorkeakoulu (MAMK),0.05,0.04,0.05,0.06,0.05,0.05,0,0,0.3,0.15
Kaakkois-Suomen ammattikorkeakoulu (XAMK),0,0,0,0,0.02,0.05,0.11,0.11,0.3,0.15
Kansalliskirjasto,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.08,0.26,0.13
Karelia-ammattikorkeakoulu,0.01,0.02,0.02,0.03,0.01,0.01,0.07,0.09,0.25,0.13
