Publisher (costs in MEUR),2010,2011,2012,2013,2014,2015,2016,2017,Total,%
Total,17.3,18.85,21.33,22.13,24.31,26.9,35.05,32.86,198.73,100
Elsevier,6.41,6.84,7.38,7.65,8.1,8.58,10.46,9.79,65.21,32.82
Wiley,1.66,2.06,2.29,2.43,2.57,2.65,3.33,2.82,19.82,9.98
Ebsco,0.81,1.6,1.97,2.09,2,1.7,1.72,1.63,13.52,6.8
Springer,1.3,1.36,1.41,1.45,1.48,1.5,2.2,1.94,12.63,6.36
ProQuest,0.75,0.83,0.97,0.98,1.01,1.24,1.17,1.18,8.13,4.09
LM Tietopalvelut,0.11,0.15,0.25,0.25,0.28,1.1,2.48,2.11,6.73,3.39
Taylor & Francis,0.06,0.06,0.1,0.1,1.13,1.3,1.96,1.56,6.27,3.15
American Chemical Society (ACS),0.51,0.53,0.59,0.62,0.63,0.78,1.08,1.13,5.86,2.95
SAGE Publications,0.5,0.55,0.65,0.66,0.71,0.86,0.93,0.88,5.74,2.89
Thomson Reuters,0.49,0.54,0.67,0.73,0.77,0.94,1.11,0.06,5.3,2.67
Nature Publishing Group,0.38,0.42,0.58,0.64,0.67,0.62,0.67,0.59,4.57,2.3
Institute of Electrical and Electronics Engineers (IEEE),0.29,0.31,0.39,0.4,0.39,0.52,0.9,0.89,4.1,2.06
Duodecim,0.18,0.23,0.29,0.35,0.46,0.51,0.63,0.72,3.37,1.69
Ovid,0.1,0.2,0.19,0.16,0.17,0.18,0.84,0.88,2.72,1.37
Suomen Standardisoimisliitto SFS,0.16,0.17,0.2,0.22,0.23,0.24,0.32,0.32,1.87,0.94
Emerald Group Publishing,0.15,0.16,0.2,0.2,0.21,0.23,0.24,0.25,1.64,0.83
Kielikone,0.2,0.16,0.16,0.17,0.19,0.17,0.24,0.24,1.54,0.78
Wolters Kluwer,0.24,0.2,0.23,0.21,0.25,0.26,0.05,0.04,1.49,0.75
Talentum,0.14,0.16,0.17,0.19,0.25,0.46,0,0.01,1.37,0.69
Edita Publishing,0.13,0.13,0.14,0.15,0.16,0.15,0.17,0.22,1.25,0.63
Oxford University Press (OUP),0.08,0.08,0.09,0.09,0.11,0.12,0.26,0.25,1.07,0.54
Clarivate Analytics,0,0,0,0,0,0,0.01,1.01,1.02,0.51
JSTOR,0.1,0.09,0.1,0.1,0.09,0.13,0.14,0.14,0.89,0.45
Chemical Abstracts Service (CAS),0.13,0.13,0.14,0.14,0.14,0.18,0,0,0.85,0.43
Viite & Hakuteos & kokotekstietokannat:  tilattu useilta kotimaiselta ja kansain,0.15,0.04,0.09,0.1,0.09,0.15,0.13,0.08,0.84,0.42
Alma Talent,0,0,0,0,0,0,0,0.8,0.8,0.4
Alma Media,0,0,0,0,0,0,0.77,0,0.77,0.39
American Association for the Advancement of Science (AAAS),0.07,0.07,0.08,0.09,0.09,0.08,0.16,0.11,0.75,0.38
Swets,0.68,0,0,0,0,0,0,0,0.68,0.34
BTJ Kirjastopalvelu,0.08,0.08,0.11,0.08,0.08,0.08,0.08,0.08,0.68,0.34
Association for Computer Machinery (ACM),0.08,0.07,0.08,0.07,0.07,0.08,0.1,0.09,0.65,0.33
Cengage,0.02,0.02,0.02,0.02,0.03,0.03,0.4,0.1,0.64,0.32
Johns Hopkins University Press (JHU Press),0.06,0.06,0.08,0.08,0.08,0.08,0.09,0.1,0.63,0.32
Lippincott Williams & Wilkins (LWW),0.09,0.09,0.1,0.1,0.11,0.12,0,0,0.61,0.31
Royal Society of Chemistry (RSC),0.02,0.03,0.03,0.04,0.05,0.07,0.11,0.23,0.6,0.3
OECD,0.05,0.05,0.07,0.06,0.06,0.06,0.11,0.07,0.53,0.26
Aalto-yliopisto,0.11,0.11,0.06,0.06,0.06,0.06,0.06,0,0.51,0.26
American Mathematical Society (AMS),0.03,0.05,0.05,0.05,0.05,0.06,0.08,0.09,0.46,0.23
Kansalliskirjasto,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.03,0.45,0.22
Bureau van Dijk,0.04,0.05,0.06,0.06,0.07,0.06,0.05,0.05,0.44,0.22
Rakennustieto,0.02,0.02,0.03,0.04,0.05,0.06,0.09,0.11,0.41,0.21
Integrum,0.05,0.05,0.04,0.05,0.04,0.05,0.06,0.06,0.41,0.2
WSOY,0.13,0.13,0.14,0,0,0,0,0,0.4,0.2
Helsingin yliopisto,0.05,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.4,0.2
Kauppalehti,0.03,0.04,0.05,0.06,0.07,0.07,0,0.05,0.37,0.18
Wize Nordic,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.11,0.35,0.18
American Physical Society (APS),0.01,0.02,0.02,0.02,0.04,0.05,0.05,0.07,0.28,0.14
FinELib,0.04,0.04,0.04,0.04,0.04,0.06,0,0,0.26,0.13
Institute of Physics (IOP),0.02,0.02,0.02,0.01,0.01,0.01,0.05,0.1,0.25,0.12
Sanoma,0,0,0,0.12,0.11,0,0,0,0.25,0.12
Informa,0.02,0.02,0.03,0.04,0.04,0.05,0.02,0.02,0.23,0.12
Euromonitor International,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.23,0.12
BMJ Group,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.23,0.11
Annual Reviews,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.22,0.11
Bonnier,0,0,0.01,0.02,0.04,0.05,0.06,0.04,0.22,0.11
Encyclopedia Britannica,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.21,0.11
Tilastokeskus,0.04,0.04,0.04,0.02,0.02,0.01,0.01,0.01,0.21,0.11
Thieme,0.01,0.01,0.02,0.03,0.03,0.03,0.04,0.03,0.2,0.1
PressReader,0.01,0.01,0.02,0.01,0.02,0.02,0.05,0.06,0.19,0.1
American Institute of Physics (AIP),0,0.03,0.03,0.02,0.02,0.02,0.04,0.02,0.18,0.09
HighWire,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.18,0.09
