Publisher,2010,2011,2012,2013,2014,2015,2016,2017
Cambridge University Press,1,1.01,0.89,0.31,2.09,4.84,22.33,38.87
Taylor & Francis,1,1.1,1.78,1.73,20.39,23.36,35.27,27.96
Brill,1,1.05,1.23,1.43,2.32,3.05,3.58,25.57
McGraw-Hill Education,1,1.65,1.83,2.14,4.49,3.29,3.95,22.75
Ellibs,1,1.23,2.51,3.03,3.8,6,12.77,20.94
LM Tietopalvelut,1,1.28,2.18,2.18,2.48,9.57,21.6,18.44
Naxos Digital Services,1,8.19,1,10.75,10.75,10.58,19.97,16.19
SPARC,1,1,1,1,1,1,NA,12.83
Walter de Gruyter GmbH,1,1,1,1,0.84,0.81,8.97,11.27
Royal Society of Chemistry (RSC),1,1.18,1.36,1.79,2.05,2.69,4.66,9.56
Ovid,1,1.95,1.79,1.54,1.61,1.69,8.06,8.43
Artstor,1,8.13,4.29,4.48,4.75,6.05,7.07,7.61
Sähköinfo Oy,1,1.01,0.98,1.3,2.3,3.71,6.78,7.37
American Physical Society (APS),1,2.17,2.21,2.28,3.31,4.54,4.66,6.29
Cengage,1,1.01,1.13,1.38,1.55,1.6,23.83,6.1
FinPro,1,2.01,3.14,4.02,4.61,4.61,5.21,5.76
Rakennustieto,1,0.88,1.7,2.18,2.62,3.03,4.88,5.71
Institute of Physics (IOP),1,0.78,0.82,0.68,0.69,0.68,2.72,5.39
Adato Energia Oy,1,1,1.05,3.45,3.38,3.38,4.97,5.18
PressReader,1,1.07,1.43,1.03,1.56,1.62,4.49,5.05
Thieme,1,2.19,3.28,4.72,5.63,5.52,5.85,4.22
Duodecim,1,1.29,1.64,1.97,2.6,2.91,3.55,4.08
Suomen Tilintarkastajat ry,1,1.12,1.12,1.2,1.23,1.89,2.02,3.91
Riksarkivet,1,2.1,2.18,2.31,2.92,2.88,2.89,3.64
BMJ Group,1,1.76,1.73,1.78,1.94,2.2,2.99,3.44
International Bureau of Fiscal Documentation (IBFD),1,1.07,1.15,NA,1.26,1.33,3.25,3.37
Wize Nordic,1,0.9,0.93,1.08,1.19,1.24,1.09,3.24
Oxford University Press (OUP),1,1.05,1.2,1.12,1.41,1.58,3.48,3.23
American Mathematical Society (AMS),1,1.79,1.91,1.95,1.9,2.32,2.9,3.17
Institute of Electrical and Electronics Engineers (IEEE),1,1.05,1.34,1.35,1.35,1.8,3.09,3.04
Lehtimarket,1,1.37,1.07,1.16,NA,NA,2.62,3.01
National Bureau of Economic Research (NBER),1,1.11,1.2,1.27,1.33,1.47,3.36,2.93
Burgundy,1,1.28,1.52,1.57,1.58,2.23,2.49,2.69
American Dietetic Association (ADA),1,2.6,2.02,NA,2.07,2.16,2.16,2.52
Alexander Street Press,1,1.25,NA,2.29,2.35,2.75,2.89,2.45
Brepols,1,0.98,1.67,1.92,1.94,1.9,2.29,2.21
American Chemical Society (ACS),1,1.04,1.16,1.21,1.23,1.53,2.12,2.21
HighWire,1,1.02,1.15,1.23,1.28,1.51,1.82,2.14
Ebsco,1,1.97,2.43,2.59,2.47,2.1,2.13,2.01
Nationalencyklopedin,1,1.22,1.24,1.29,1.6,1.43,2.16,1.97
Suomen Standardisoimisliitto SFS,1,1.05,1.24,1.32,1.42,1.47,1.95,1.94
Johns Hopkins University Press (JHU Press),1,1.05,1.33,1.35,1.41,1.47,1.65,1.8
SAGE Publications,1,1.11,1.31,1.32,1.42,1.73,1.87,1.77
Annual Reviews,1,1.08,1.19,1.26,1.28,1.57,1.72,1.77
